note,filter,night,season,fiveSigmaDepth,airmass,observationStartMJD,numExposures,visitExposureTime,seeingFwhmEff,seeingFwhmGeom
DD:XMM_LSS,i,867,3,23.267055818928597,1.8963296455527712,61085.051501039496,2.0,30.0,1.0317822701269286,0.9001250260443354
DD:XMM_LSS,i,1020,4,23.488615559342772,1.1558782181088763,61238.42819490449,2.0,30.0,1.051838410308255,0.9166111732733857
DD:XMM_LSS,i,1027,4,23.79513375034125,1.1280711434803337,61245.4262611839,2.0,30.0,0.8023523618879266,0.7115336414718757
DD:XMM_LSS,i,1040,4,22.991000962518545,2.102475010562017,61258.25701403725,2.0,30.0,1.1210634172242553,0.9735141289583378
DD:XMM_LSS,i,1042,4,23.226584496784795,1.1626569375987121,61260.363914024536,2.0,30.0,1.3386294585643843,1.152353414939924
DD:XMM_LSS,i,1049,4,23.456253125849628,1.1144609150844205,61267.40562474677,2.0,30.0,1.1420766576674577,0.9907870126026503
DD:XMM_LSS,i,1057,4,23.25183723216118,1.1140859550732323,61275.384198224274,2.0,30.0,1.385889444605429,1.1912011234656625
DD:XMM_LSS,i,1073,4,23.036918588857382,1.8284055610019436,61291.18179185817,2.0,30.0,1.3648675163411448,1.173921098432421
DD:XMM_LSS,i,1079,4,23.917557158453658,1.1109631336476156,61297.319953396815,2.0,30.0,0.7534496704681524,0.6713356291248214
DD:XMM_LSS,i,1086,4,23.785467609103982,1.132907851061183,61304.332442198254,2.0,30.0,0.8411848706272291,0.7434539636555824
DD:XMM_LSS,i,1096,4,22.916546325450867,1.4142435268448934,61314.15963278666,2.0,30.0,1.4024370054747357,1.2048032185002326
DD:XMM_LSS,i,1101,4,23.36698883398455,1.1719070308426658,61319.20098054808,2.0,30.0,1.2193431664972891,1.0543000828607716
DD:XMM_LSS,i,1108,4,23.29038040442645,1.1092672155719996,61326.244454860935,2.0,30.0,1.3307833765560173,1.1459039355290463
DD:XMM_LSS,i,1115,4,23.16646093932773,1.2315412909920664,61333.28998454789,2.0,30.0,1.414530615786632,1.2147441661766114
DD:XMM_LSS,i,1123,4,22.810271685612236,1.7606206721661657,61341.0513011567,2.0,30.0,1.2020563010471665,1.0400902794607707
DD:XMM_LSS,i,1137,4,23.877795867317488,1.1118674547875935,61355.165492579385,2.0,30.0,0.776503530231806,0.6902859018505445
DD:XMM_LSS,i,1144,4,23.41450216630793,1.3955330054772164,61362.24098309841,2.0,30.0,1.0766240731867065,0.9369849881594727
DD:XMM_LSS,i,1152,4,24.077322879164782,1.2373102001894494,61370.042696227414,2.0,30.0,0.6103455560468458,0.5537040470705072
DD:XMM_LSS,i,1159,4,23.93778530880877,1.1036780109155626,61377.10266929018,2.0,30.0,0.7397455173004135,0.6600708152209398
DD:XMM_LSS,i,1166,4,23.675267418006868,1.10319203476146,61384.08206601729,2.0,30.0,0.9477619876708043,0.8310603538654011
DD:XMM_LSS,i,1181,4,23.488847546006866,1.1130753358215266,61399.04371307622,2.0,30.0,0.8083096946519261,0.7164305690038832
DD:XMM_LSS,i,1188,4,23.757047057038367,1.157765334995539,61406.063396024634,2.0,30.0,0.8478224201805518,0.7489100293884136
DD:XMM_LSS,i,1195,4,23.579098652134068,1.2321212680308564,61413.07108688469,2.0,30.0,0.9754088218918631,0.8537860515951115
